X,Y,institucio,num,tiponombre,domicilio,barrioloca,latitudy,longitudx,icon_url
-58.3337249,-34.6590622,Escuela,"67",Guarda Costa Río Iguazu (Primaria),Pasaje Canalejas 2053,Villa Inflamable,-34.659062200000001,-58.333724900000000,./0.png
-58.3333579,-34.6593356,Escuela,"931",Jardin de infantes,Pasaje Canalejas 2060,Villa Inflamable,-34.659335599999999,-58.333357900000003,./0.png
-58.3487905,-34.6450161,Escuela,"122",Centro Municipal María Elena Walsh,Sgto. Ponce 790,Dock Sud,-34.645016099999999,-58.348790500000000,./0.png
-58.3641678,-34.6481386,Escuela,"11",Jardín Maternal Nuestra Señora de Luján,"Pje. Peatonal 3, 1570",Isla Maciel,-34.648138600000003,-58.364167799999997,./0.png
-58.3688257,-34.6532848,Escuela,JIM 3,"Jardín de Infantes ""Isla Maciel""",Espejo 1411,Isla Maciel,-34.653284800000002,-58.368825700000002,./0.png
-58.3528778,-34.6540625,Escuela,JIM 12,"""El Hornerito""",25 de Mayo 1000,Dock Sud,-34.654062500000002,-58.352877800000002,./0.png
-58.3474342,-34.6612152,Escuela,JIM 20,"""Arco Iris""",Suárez y Nuñez,Dock Sud,-34.661215200000001,-58.347434200000002,./0.png
-58.3559542,-34.6571016,Escuela,JIM 21,"""Domingo Faustino Sarmiento""",Estanislao del Campo 948,Dock Sud,-34.657101599999997,-58.355954199999999,./0.png
-58.3487905,-34.6450161,Escuela,JIM 27,,Sargento Ponce 790,Dock Sud,-34.645016099999999,-58.348790500000000,./0.png
-58.3492184,-34.6532348,Escuela,Privada,Colegio Inmaculada Concepción,25 de mayo y Alem y Superi 1262,Dock Sud,-34.653234800000000,-58.349218399999998,./0.png
-58.3453334,-34.6552583,Escuela,EGB 33,"""Jorge Newbery""",Ing. Huergo 1534,Dock Sud,-34.655258300000000,-58.345333400000001,./0.png
-58.3525111,-34.6503482,Escuela,ESN 45,,Manuel Estevez 1000,Dock Sud,-34.650348200000003,-58.352511100000001,./0.png
-58.3456817,-34.6500333,Escuela,ESB 28/35,Esteban de Luca,Av. Debenedetti 1338,Dock Sud,-34.650033299999997,-58.345681700000000,./0.png
